Facility,State,Name,Staff Confirmed,Residents confirmed,Staff Deaths,Resident Deaths,Date
Prison,Alabama,Alex City,0,0,0,0,4/13/2020
Prison,Alabama,ATEF,0,0,0,0,4/13/2020
Prison,Alabama,Bibb,0,0,0,0,4/13/2020
Prison,Alabama,Birmingham,0,0,0,0,4/13/2020
Prison,Alabama,Bullock,0,0,0,0,4/13/2020
Prison,Alabama,Camden,0,0,0,0,4/13/2020
Prison,Alabama,Childersburg,0,0,0,0,4/13/2020
Prison,Alabama,Donaldson,0,0,0,0,4/13/2020
Prison,Alabama,Easterling,0,0,0,0,4/13/2020
Prison,Alabama,Elba,0,0,0,0,4/13/2020
Prison,Alabama,Elmore,1,0,0,0,4/13/2020
Prison,Alabama,Fountain,0,0,0,0,4/13/2020
Prison,Alabama,Frank Lee,0,0,0,0,4/13/2020
Prison,Alabama,Hamilton A&I,0,0,0,0,4/13/2020
Prison,Alabama,Hamilton CBF,0,0,0,0,4/13/2020
Prison,Alabama,Holman,0,0,0,0,4/13/2020
Prison,Alabama,Kilby,0,0,0,0,4/13/2020
Prison,Alabama,Limestone,1,0,0,0,4/13/2020
Prison,Alabama,Loxley,0,0,0,0,4/13/2020
Prison,Alabama,Mobile,0,0,0,0,4/13/2020
Prison,Alabama,Montgomery,0,0,0,0,4/13/2020
Prison,Alabama,North Alabama,0,0,0,0,4/13/2020
Prison,Alabama,Red Eagle,0,0,0,0,4/13/2020
Prison,Alabama,St Clair,1,0,0,0,4/13/2020
Prison,Alabama,Staton,1,0,0,0,4/13/2020
Prison,Alabama,Tutwiler,0,0,0,0,4/13/2020
Prison,Alabama,Ventress,0,0,0,0,4/13/2020
Prison,Alaska,State-Wide,1,0,,0,4/13/2020
Prison,Arizona,State-Wide (for staff count),3,0,,0,4/13/2020
Prison,Arizona,CACF,0,0,,0,4/13/2020
Prison,Arizona,Douglas,0,0,,0,4/13/2020
Prison,Arizona,Eyeman,0,3,,0,4/13/2020
Prison,Arizona,Florence,0,2,,0,4/13/2020
Prison,Arizona,Florence West,0,0,,0,4/13/2020
Prison,Arizona,Kingman,0,0,,0,4/13/2020
Prison,Arizona,Lewis,0,0,,0,4/13/2020
Prison,Arizona,Marana,0,3,,0,4/13/2020
Prison,Arizona,MRC,0,0,,0,4/13/2020
Prison,Arizona,Perryville,0,0,,0,4/13/2020
Prison,Arizona,Phoenix,0,0,,0,4/13/2020
Prison,Arizona,Phoenix West,0,0,,0,4/13/2020
Prison,Arizona,PRC,0,0,,0,4/13/2020
Prison,Arizona,Red Rock,0,0,,0,4/13/2020
Prison,Arizona,Safford,0,0,,0,4/13/2020
Prison,Arizona,Tucson,0,1,,0,4/13/2020
Prison,Arizona,Winslow,0,0,,0,4/13/2020
Prison,Arizona,Yuma,0,0,,0,4/13/2020
Prison,Arkansas,State-Wide,12,0,,0,4/13/2020
Prison,Arkansas,Cummins Unit Prison,0,44,,0,4/13/2020
Prison,California,ASP-Avenal State Prison,0,0,,0,4/13/2020
Prison,California,CAC-California City Correctional Facility,0,0,,0,4/13/2020
Prison,California,CAL-Calipatria State Prison,2,0,,0,4/13/2020
Prison,California,CCC-California Correctional Center,0,0,,0,4/13/2020
Prison,California,CCI-California Correctional Institution,1,0,,0,4/13/2020
Prison,California,CCWF-Central California Women’s Facility,1,0,,0,4/13/2020
Prison,California,"CEN-California State Prison, Centinela",2,0,,0,4/13/2020
Prison,California,CHCF-California Health Care Facility,4,0,,0,4/13/2020
Prison,California,CIM-California Institution for Men,21,38,,0,4/13/2020
Prison,California,CIW-California Institution for Women,2,1,,0,4/13/2020
Prison,California,CMC-California Men’s Colony,0,1,,0,4/13/2020
Prison,California,CMF-California Medical Facility,0,0,,0,4/13/2020
Prison,California,"COR-California State Prison, Corcoran",0,0,,0,4/13/2020
Prison,California,CRC-California Rehabilitation Center,0,0,,0,4/13/2020
Prison,California,CTF-Correctional Training Facility,0,0,,0,4/13/2020
Prison,California,CVSP-Chuckawalla Valley State Prison,0,0,,0,4/13/2020
Prison,California,DVI-Deuel Vocational Institution,0,0,,0,4/13/2020
Prison,California,FSP-Folsom State Prison,4,0,,0,4/13/2020
