Date,Facility Type,State,Canonical Facility Name,Pop Tested,Pop Tested Positive,Pop Tested Negative,Pop Deaths,Staff Tested,Staff Tested Positive,Staff Tested Negative,Staff Deaths,Source,Compilation,Notes
2020-03-31,State Prisons,Washington,Coyote Ridge Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Airway Heights Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Minnesota,Faribault,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Minnesota,Moose Lake,,1,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Minnesota,Lino Lakes,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,North Dakota,James River Correctional Center,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Florida,Century Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Minnesota,Stillwater,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Florida,Marion Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Illinois,North Lawndale Adult Transition Center,,4,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Florida,Sumter Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Georgia,Lee State Prison,,7,,1,,5,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Georgia,Wheeler Correctional Facility,,1,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Washington State Penitentiary,,0,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,North Dakota,North Dakota State Penitentiary,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Cedar Creek Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Georgia,Calhoun State Prison,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Michigan,Detroit Reentry Center,,4,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Washington Corrections Center for Women,,0,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,North Dakota,Missouri River Correctional Center,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Illinois,Stateville Correctional Center,,28,,,,15,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Michigan,Parnall Correctional Facility,,29,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Mission Creek Corrections Center for Women,,0,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Michigan,Newberry Correctional Facility,,1,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Illinois,Stateville NRC,,0,,,,4,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Wisconsin,Columbia Correctional Institution,,0,,,,2,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Clallam Bay Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Michigan,Duane Waters Health Center,,1,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Wisconsin,Milwaukee Secure Detention Facility,,0,,,,2,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Illinois,Sheridan Correctional Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Michigan,Women's Huron Valley Correctional Facility,,7,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Florida,Everglades Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Michigan,Macomb Correctional Facility,,27,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Michigan,Lakeland Correctional Facility,,8,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Florida,Florida Women's Reception Center (FWRC),,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Washington Corrections Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Georgia,Ware State Prison,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Olympic Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Georgia,Johnson State Prison,,1,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Michigan,Woodland Center Correctional Facility,,2,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Minnesota,Shakopee,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,North Dakota,North Dakota Youth Correctional Center,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Minnesota,Rush City,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Georgia,Phillips State Prison,,1,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Monroe Correctional Complex,,0,,,,3,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Stafford Creek Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Illinois,Menard Correctional Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Florida,Zephyrhills Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Minnesota,Oak Park Heights,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Washington,Larch Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Minnesota,St. Cloud,,0,,,,,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Wisconsin,Waupun Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-03-31,State Prisons,Michigan,Kinross Correctional Facility,,1,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Louisiana,Elayn Hunt Correctional Center,,0,,,,2,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Coyote Ridge Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Airway Heights Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Minnesota,Faribault,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Minnesota,Moose Lake,,3,,,,,,,,UCLA Law Behind Bars,
